Community_ID,Community,Community_Type,Population,Latitude,Longitude,NTG_Region,Health centre,Police station,School,Regional council service centre,Community store,Internet,Mobile phone,WiFi,Accessible by road,Aerodrome
219,Canteen Creek,Major,190,-20.64508,135.58678,BARKLY,1,0,1,0,1,1,1,1,1,1
591,Daguragu,Major,230,-17.40059,130.80491,BIG RIVERS,0,0,0,0,0,1,1,1,1,1
473,Dhalinybuy,Minor,92,-12.4125,136.3878,EAST ARNHEM,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
33,Engawala,Minor,193,-22.80257,134.45547,CENTRAL AUSTRALIA,0.5,0,1,1,1,0,1,1,1,1
36,Finke,Major,224,-25.58144,134.57842,CENTRAL AUSTRALIA,1,0.5,1,1,1,1,1,1,1,1
492,Galiwinku,Major,2582,-12.0235,135.5664,EAST ARNHEM,1,1,1,1,1,1,1,1,0,1
498,Gan Gan,Minor,87,-13.04605,135.94354,EAST ARNHEM,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
500,Gapuwiyak,Major,828,-12.50322,135.80587,EAST ARNHEM,1,1,1,1,1,1,1,1,1,1
319,Gochan Jiny Jirra,Minor,0,-12.19925,134.45751,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
329,Gunbalanya,Major,1354,-12.324,133.056,TOP END,1,1,1,1,1,1,1,1,1,1
514,Gunyangara,Minor,283,-12.21542,136.70569,EAST ARNHEM,1,0,1,1,1,1,1,1,1,1
517,Gurrumuru,Minor,34,-12.59224,136.23168,EAST ARNHEM,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
41,Haasts Bluff,Major,96,-23.44733,131.88129,CENTRAL AUSTRALIA,0.5,0.5,1,1,1,0,0,1,1,1
43,Hermannsburg,Major,647,-23.9427,132.7787,CENTRAL AUSTRALIA,1,1,1,1,1,1,1,1,1,1
600,Hodgson River Station,Minor,0,-15.57495,134.09553,BIG RIVERS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
250,Imangara,Minor,79,-21.04961,134.68117,BARKLY,0,0,1,0,1,0,0,0.5,1,1
51,Imanpa,Major,146,-25.13051,132.56999,CENTRAL AUSTRALIA,1,0.5,1,1,1,0,1,1,1,0
63,Irrultja,Minor,45,-21.97997,135.11128,BARKLY,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5
65,Iwupataka,Minor,0,-23.79061,133.50327,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
593,Jilkminggan,Minor,309,-14.95306,133.3,BIG RIVERS,1,0,1,1,1,1,1,0.5,1,0
603,Kalkarindji,Major,450,-17.44675,130.83212,BIG RIVERS,1,1,1,1,1,1,1,1,1,1
66,Kaltukatjara,Major,269,-24.87611,129.07916,CENTRAL AUSTRALIA,1,0.5,1,1,1,1,1,1,1,1
72,Kintore,Major,493,-23.27591,129.38725,CENTRAL AUSTRALIA,1,1,1,1,1,1,1,1,1,1
608,Kybrook Farm,Minor,0,-13.86316,131.82196,BIG RIVERS,0,0,0,0,0,0.5,1,0.5,1,0
609,Lajamanu,Major,767,-18.33584,130.63834,BIG RIVERS,1,1,1,1,1,1,1,1,1,1
86,Laramba,Major,222,-22.53297,132.75603,CENTRAL AUSTRALIA,1,0,1,1,1,0,1,1,1,1
721,Likkaparta,Minor,0,-19.34336,134.53799,BARKLY,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
362,Maningrida,Major,2956,-12.05085,134.22363,TOP END,1,1,1,1,1,1,1,1,1,1
363,Manmoyi,Minor,106,-12.54064,134.11001,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5
595,Manyallaluk,Minor,121,-14.26649,132.82797,BIG RIVERS,1,0,1,1,0,1,1,0.5,1,1
524,Mapuru,Minor,97,-12.25318,135.43779,EAST ARNHEM,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5
252,Marlinja,Minor,52,-17.37111,133.40305,BARKLY,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5
374,Milikapiti,Major,486,-11.42167,130.67418,TOP END,1,1,1,1,1,1,1,0,0,1
531,Milingimbi,Major,1288,-12.1036,134.9201,EAST ARNHEM,1,1,1,1,1,1,1,1,0,1
532,Milyakburra,Major,124,-13.78389,136.19583,EAST ARNHEM,1,0,1,1,1,0,1,0.5,0,1
375,Minjilang,Major,311,-11.1507,132.5786,TOP END,1,1,1,1,1,1,1,0.5,0,1
624,Minyerri,Major,763,-15.2216,134.0821,BIG RIVERS,1,0.5,1,1,1,1,1,1,1,1
112,Mount Liebig,Major,282,-23.26605,131.27319,CENTRAL AUSTRALIA,1,0,1,1,1,1,1,1,1,1
244,Mungkarta,Minor,0,-20.33702,134.19843,BARKLY,1,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5
120,Mutitjulu,Major,314,-25.3523,131.0667,CENTRAL AUSTRALIA,1,1,1,0,1,1,1,1,1,0
397,Nauiyu,Major,411,-13.75054,130.68893,TOP END,1,1,1,1,1,1,1,1,1,1
542,Ngangalala,Minor,70,-12.29835,134.99224,EAST ARNHEM,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
404,Nganmarriyanga,Major,427,-14.35111,129.87889,TOP END,1,0,1,1,1,1,1,1,1,1
